city,timestamp,temperature,season
New York,2010-01-01,-0.4248657025420495,winter
New York,2010-01-02,-6.931198127996932,winter
New York,2010-01-03,-4.317589461247588,winter
New York,2010-01-04,-4.074663238641536,winter
New York,2010-01-05,-7.940252093811781,winter
New York,2010-01-06,0.5956766914288898,winter
New York,2010-01-07,7.647590863148254,winter
New York,2010-01-08,-0.7948821235764822,winter
New York,2010-01-09,3.9771802149451903,winter
New York,2010-01-10,4.205978688743609,winter
New York,2010-01-11,13.734891305668487,winter
New York,2010-01-12,-3.258568472842913,winter
New York,2010-01-13,-7.0047093996586725,winter
New York,2010-01-14,-4.459345216886762,winter
New York,2010-01-15,-4.207022751331587,winter
New York,2010-01-16,1.3559743265271404,winter
New York,2010-01-17,-7.59356204637264,winter
New York,2010-01-18,-0.09723586366913908,winter
New York,2010-01-19,5.4808041889837895,winter
New York,2010-01-20,6.0306339829097855,winter
New York,2010-01-21,3.318579300190117,winter
New York,2010-01-22,0.9937110586714804,winter
New York,2010-01-23,0.9597893643190875,winter
New York,2010-01-24,5.2443055185261,winter
New York,2010-01-25,-10.490022332285951,winter
New York,2010-01-26,4.311516650358704,winter
New York,2010-01-27,0.12074625897906845,winter
New York,2010-01-28,-2.795303812173514,winter
New York,2010-01-29,0.10027502378059829,winter
New York,2010-01-30,0.824847436939669,winter
New York,2010-01-31,1.4928408548408878,winter
New York,2010-02-01,-3.033881926861115,winter
New York,2010-02-02,3.7758458693664556,winter
New York,2010-02-03,0.7572919536470818,winter
New York,2010-02-04,1.0473985880508916,winter
New York,2010-02-05,-2.2877628988216707,winter
New York,2010-02-06,-3.2552631556398257,winter
New York,2010-02-07,10.49439063087995,winter
New York,2010-02-08,-5.283001048738384,winter
New York,2010-02-09,-3.371738270309354,winter
New York,2010-02-10,-2.4746438724434747,winter
New York,2010-02-11,8.409060228846258,winter
New York,2010-02-12,4.458561898163846,winter
New York,2010-02-13,6.117584310665421,winter
New York,2010-02-14,2.2587871883182995,winter
New York,2010-02-15,0.7786949763370901,winter
New York,2010-02-16,-0.81846158042021,winter
New York,2010-02-17,-0.45335211590511326,winter
New York,2010-02-18,-4.119353291449986,winter
New York,2010-02-19,-1.784573569284357,winter
New York,2010-02-20,2.907736783524901,winter
New York,2010-02-21,-0.9063791335172123,winter
New York,2010-02-22,1.1033858263147285,winter
New York,2010-02-23,2.2303324180248407,winter
New York,2010-02-24,2.0347028957608564,winter
New York,2010-02-25,-1.8191718782986845,winter
New York,2010-02-26,-3.996165323004081,winter
New York,2010-02-27,-0.4781903684074966,winter
New York,2010-02-28,-13.894500584307307,winter
New York,2010-03-01,8.05291682627818,spring
New York,2010-03-02,8.084739176038244,spring
New York,2010-03-03,13.549830723270595,spring
New York,2010-03-04,4.109396807956399,spring
New York,2010-03-05,9.618671847798424,spring
New York,2010-03-06,15.98838414463425,spring
New York,2010-03-07,13.895987536121728,spring
New York,2010-03-08,9.45849741385558,spring
New York,2010-03-09,8.248105010886597,spring
New York,2010-03-10,8.691959378179007,spring
New York,2010-03-11,0.7955762716617443,spring
New York,2010-03-12,11.80846191028454,spring
New York,2010-03-13,11.14151546320093,spring
New York,2010-03-14,17.414320071686102,spring
New York,2010-03-15,6.891213626649106,spring
New York,2010-03-16,5.793110266807103,spring
New York,2010-03-17,16.17538618430938,spring
New York,2010-03-18,5.151948975947044,spring
New York,2010-03-19,17.41365805066361,spring
New York,2010-03-20,5.162411738483269,spring
New York,2010-03-21,7.583409663149872,spring
New York,2010-03-22,17.156481271756515,spring
New York,2010-03-23,11.189018294293003,spring
New York,2010-03-24,3.943220660332446,spring
New York,2010-03-25,14.716492998680849,spring
New York,2010-03-26,16.28038900464214,spring
New York,2010-03-27,9.472037992233357,spring
New York,2010-03-28,1.3742569541435952,spring
New York,2010-03-29,15.05806732246634,spring
New York,2010-03-30,12.03789943139677,spring
New York,2010-03-31,13.754856438361262,spring
New York,2010-04-01,8.652540027294783,spring
New York,2010-04-02,12.176795870066817,spring
New York,2010-04-03,11.066740959944147,spring
New York,2010-04-04,15.383638662017825,spring
New York,2010-04-05,17.228273948378643,spring
New York,2010-04-06,8.953674814015727,spring
New York,2010-04-07,9.948604081192807,spring
New York,2010-04-08,5.252667179567186,spring
New York,2010-04-09,19.82971043183803,spring
New York,2010-04-10,8.164917082611664,spring
New York,2010-04-11,18.09765906730854,spring
New York,2010-04-12,19.923328050648287,spring
New York,2010-04-13,11.587827516995956,spring
New York,2010-04-14,11.414821534205302,spring
New York,2010-04-15,18.46058060568027,spring
New York,2010-04-16,13.240703331567351,spring
New York,2010-04-17,3.859923380923748,spring
New York,2010-04-18,9.855861335825889,spring
New York,2010-04-19,2.753050707881391,spring
New York,2010-04-20,15.742786654416658,spring
New York,2010-04-21,8.26491189349386,spring
